# Program:featureCounts v1.6.3; Command:"featureCounts" "-a" "../../genome/NC_000021.gtf" "-o" "../counts/final_counts.txt" "-g" "gene_name" "-T" "2" "SRR849504_21.bam" "SRR849505_21.bam" "SRR849506_21.bam" "SRR849507_21.bam" "SRR849508_21.bam" "SRR849509_21.bam" "SRR849510_21.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR849504_21.bam	SRR849505_21.bam	SRR849506_21.bam	SRR849507_21.bam	SRR849508_21.bam	SRR849509_21.bam	SRR849510_21.bam
LOC105379484	NC_000021.9;NC_000021.9	5011976;5012556	5012370;5013040	-;-	880	0	0	0	0	0	0	0
LOC102723996	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5022044;5022044;5022044;5022531;5025009;5025009;5025009;5025009;5026280;5026280;5026280;5026280;5027935;5027935;5027935;5027935;5032053;5032053;5032053;5032053;5033408;5033408;5033408;5033408;5034080;5034582;5045419	5022693;5022693;5022693;5022693;5025049;5025049;5025049;5025049;5026630;5026630;5026630;5026630;5028225;5028225;5028225;5028225;5032217;5032217;5032217;5032217;5033443;5033443;5033443;5034575;5034575;5036771;5046678	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6116	0	10	0	8	4	0	2
LOC105372832	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5055768;5055769;5055773;5056882;5056882;5056882;5060445;5060445;5061713;5061713	5056469;5056469;5056469;5057143;5057143;5057143;5063360;5061104;5063360;5063360	+;+;+;+;+;+;+;+;+;+	3880	1	0	0	0	0	0	0
CH507-9B2.8	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5071218;5072909;5073524;5086657;5086819;5086819;5086819;5087617;5087617;5087617	5071798;5073685;5073685;5086717;5087153;5087153;5087153;5089824;5089824;5089824	+;+;+;+;+;+;+;+;+;+	3962	0	0	0	0	0	0	0
LOC107987292	NC_000021.9;NC_000021.9	5083817;5084759	5084488;5086110	-;-	2024	0	0	0	0	0	0	0
LOC101928576	NC_000021.9;NC_000021.9	5101731;5102568	5102097;5103182	+;+	982	0	0	1	0	0	0	0
GATD3B	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5116341;5116341;5116341;5118691;5118691;5118691;5121711;5121711;5124756;5124756;5124756;5125879;5125879;5125879;5127898;5127898;5128214;5128214;5128214	5117231;5117231;5117231;5118847;5118847;5118847;5121803;5121803;5124875;5124875;5124875;5125992;5125992;5125992;5127950;5127950;5128369;5128369;5128369	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1584	70	42	16	20	65	32	27
LOC102724159	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5130871;5130871;5133426;5133426;5133655;5133655;5133902;5133902;5134361;5135089;5135089;5135935;5135935;5137327;5137327;5139698;5139698;5140953;5140953;5141277;5141277;5141559;5141559;5142532;5142532;5143222;5143222;5144091;5144091;5146137;5146137;5146658;5146658;5147289;5147289;5147779;5147779;5148210;5148210;5152961;5152961;5154623;5154623	5131455;5131455;5133500;5133500;5133805;5133805;5134120;5134120;5134479;5135154;5135154;5136043;5136043;5137474;5137474;5139878;5139878;5141103;5141103;5141424;5141424;5141707;5141707;5142668;5142668;5143292;5143292;5144234;5144234;5146366;5146366;5146793;5146793;5147432;5147432;5147878;5147878;5148304;5148304;5153073;5153073;5154658;5154658	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3307	112	84	47	25	50	18	33
LOC102724200	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5156151;5159080;5163518;5165339;5231379	5158759;5159274;5163695;5165453;5231500	-;-;-;-;-	3219	25	2	8	8	12	4	2
LINC01670	NC_000021.9;NC_000021.9;NC_000021.9	5499154;5499999;5502369	5499809;5500101;5502560	-;-;-	951	0	0	0	0	0	0	0
LOC105379488	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5506972;5508651;5509380;5509624	5507000;5508764;5509536;5509733	+;+;+;+	410	0	0	0	0	0	0	0
LOC105379489	NC_000021.9;NC_000021.9;NC_000021.9	5542506;5546494;5546697	5545188;5546609;5546928	-;-;-	3031	0	0	0	0	0	0	0
LOC102724219	NC_000021.9;NC_000021.9;NC_000021.9	5553637;5585823;5590019	5553838;5585987;5592004	+;+;+	2353	1	1	0	0	0	0	0
LOC107987309	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	5602932;5608362;5614752;5614752;5615255;5615255	5603352;5608863;5614934;5614934;5616612;5616612	+;+;+;+;+;+	2464	0	0	0	0	0	0	0
CTBP2P11	NC_000021.9;NC_000021.9;NC_000021.9	5677630;5678328;5695049	5678007;5679689;5700779	+;+;+	7471	0	0	0	0	0	0	0
LOC102724334	NC_000021.9	5972922	5973355	-	434	0	0	0	0	0	0	0
LOC105379490	NC_000021.9;NC_000021.9	6001468;6008605	6001649;6009381	+;+	959	0	0	0	0	0	0	0
LINC01669	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6059029;6060414;6062524;6066867;6076004	6059063;6060499;6062591;6067049;6076305	+;+;+;+;+	674	0	0	0	2	0	0	0
LOC102724370	NC_000021.9;NC_000021.9	6070758;6072918	6071209;6073132	-;-	667	0	0	0	0	0	0	0
CH507-42P11.6	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6084373;6084373;6084373;6085761;6087294;6087345	6087093;6085145;6087093;6095783;6095783;6095783	-;-;-;-;-;-	11411	0	0	0	0	0	1	0
LOC107985506	NC_000021.9;NC_000021.9;NC_000021.9	6095869;6096472;6101042	6095906;6097392;6103406	-;-;-	3324	0	0	0	0	0	0	0
SIK1B	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6111131;6111135;6112070;6112070;6112739;6112739;6116224;6116224;6116462;6116462;6116894;6116894;6117128;6117128;6117804;6117804;6118256;6118783;6118783;6119024;6119024;6119720;6119720;6120487;6120487;6121144;6121144	6111252;6111252;6112239;6112239;6112855;6112855;6116287;6116287;6116623;6116623;6117018;6117018;6117251;6117251;6118027;6118027;6118402;6118908;6118908;6119240;6119240;6120001;6120001;6120718;6120718;6123752;6123778	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4747	12	26	10	54	14	12	14
LOC107987288	NC_000021.9;NC_000021.9;NC_000021.9	6134475;6135064;6135425	6134947;6135288;6135752	-;-;-	1026	0	0	0	0	0	0	0
LOC107987289	NC_000021.9;NC_000021.9;NC_000021.9	6135285;6138353;6142023	6136696;6141904;6142051	-;-;-	4993	0	0	0	0	0	0	0
LOC102724701	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6228966;6228966;6228966;6228966;6228966;6228966;6228966;6228966;6228966;6228966;6228966;6234983;6234983;6234983;6234983;6234983;6234983;6234983;6234983;6234983;6234983;6234983;6235907;6235907;6235907;6235907;6235907;6235989;6235995;6254791;6254791;6267135;6267135;6267135;6635307;6640822;6654808;6656799;6666429;6666429;6666429;6666878;6668152;6668152;6668152;6668152;6670522;6670522;6670522;6670522	6230951;6230951;6230951;6230951;6230951;6230951;6230951;6230951;6230951;6232833;6230951;6235147;6235147;6235147;6235147;6235147;6235147;6235147;6235147;6235147;6235147;6235147;6236160;6236160;6236160;6237886;6237939;6237880;6237880;6254849;6254849;6267307;6267275;6267306;6636040;6641052;6656717;6659578;6666526;6666526;6666526;6667962;6670515;6670515;6668254;6670515;6670713;6670702;6670705;6670702	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	15692	49	29	41	26	80	19	15
LOC105379491	NC_000021.9;NC_000021.9;NC_000021.9	6274045;6274364;6275785	6274276;6274479;6278467	+;+;+	3031	0	0	0	0	0	0	0
CH507-145C22.1	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6319916;6319916;6319916;6322600;6322600;6322600;6329548;6332409;6353086	6320974;6320974;6320974;6322697;6322697;6322697;6332327;6334318;6353819	+;+;+;+;+;+;+;+;+	6581	0	0	7	0	2	9	6
LOC102724525	NC_000021.9	6322730	6324142	-	1413	0	0	0	0	0	0	2
LOC107987290	NC_000021.9;NC_000021.9	6353997;6356688	6354522;6357013	+;+	852	3	5	1	0	5	1	0
